index	branch	parent_commit	commit	recipe	metric_name	metric_value	elapsed_min	launcher	job_id	command	log_path	status	description
1	autoresearch/2026-08-20-lineage-ledger/impl	c9602d447	1f9af7987	nano_swe_teacher_sc	smoke_5step_dynamics	PENDING		swe batch	6358267	DRY_RUN=0 SC_EXP_NAME=ledger-capture-s43-0820 NG_TIC_FP_CANONICAL=1 WALLTIME=3:59:00 WANDB_PROJ=PR3456-Ledger-AB-0820 bash swe_nano_sc_capture.sh grpo.max_num_steps=5 grpo.seed=43 grpo.num_prompts_per_step=2 policy.train_global_batch_size=8 token_capture.num_finalizer_workers=2 token_capture.defer_routed_experts_to_policy=true token_capture.staging_partition=rollout_staging_ledger_smoke_0820 +env.nemo_gym.policy_model.responses_api_models.vllm_model.num_workers=2 +policy.router_replay.enabled=true async_rl.sampler.name=windowed +async_rl.sampler.max_staleness_versions=1 +env.nemo_gym.model_endpoint_readiness_timeout_seconds=1800 policy.generation.vllm_cfg.reasoning_parser_plugin=/opt/nemo-rl/nemo_rl/models/generation/vllm/reasoning_parsers/nano_v3_reasoning_parser.py	/lustre/fsw/portfolios/llmservice/users/pthombre/sweRun/RL-pr3456-delta-smoke-workspace/results/ledger-capture-s43-0820	running	Capture arm: ledger-authoritative token capture + R3, num_workers=2, seed 43, 5 steps
2	autoresearch/2026-08-20-lineage-ledger/impl	c9602d447	890a485c7	nano_swe_teacher_sc	smoke_5step_dynamics	PENDING		swe batch	6358268	DRY_RUN=0 SC_EXP_NAME=ledger-legacy-s43-0820 WALLTIME=3:59:00 WANDB_PROJ=PR3456-Ledger-AB-0820 bash swe_nano_sc.sh grpo.max_num_steps=5 grpo.seed=43 grpo.num_prompts_per_step=2 policy.train_global_batch_size=8 +env.nemo_gym.policy_model.responses_api_models.vllm_model.num_workers=2 +policy.router_replay.enabled=true async_rl.sampler.name=windowed +async_rl.sampler.max_staleness_versions=1 +env.nemo_gym.model_endpoint_readiness_timeout_seconds=1800 policy.generation.vllm_cfg.reasoning_parser_plugin=/opt/nemo-rl/nemo_rl/models/generation/vllm/reasoning_parsers/nano_v3_reasoning_parser.py	/lustre/fsw/portfolios/llmservice/users/pthombre/sweRun/RL-pr3456-delta-smoke-workspace/results/ledger-legacy-s43-0820	running	Legacy arm: token-echo path + R3, num_workers=2, seed 43, 5 steps
3	autoresearch/2026-08-20-lineage-ledger/impl	890a485c7	(venv+legacy fix)	nano_swe_teacher_sc	smoke_5step_dynamics	FAILED		swe batch	6358267	(same as row 1)	.../ledger-capture-s43-0820	crash	setup_token_capture ModuleNotFoundError orjson: NRL_FORCE_REBUILD_VENVS_LIST unconsumed in this tree (stale node venv). Fixed in venvs.py.
4	autoresearch/2026-08-20-lineage-ledger/impl	890a485c7	(venv+legacy fix)	nano_swe_teacher_sc	smoke_5step_dynamics	FAILED		swe batch	6358268	(same as row 2)	.../ledger-legacy-s43-0820	crash	Pre-existing legacy bug: tool-call-only output item content=None -> TypeError in invalid-tool-call detector (also killed 0819 legacy runs). Fixed.
5	autoresearch/2026-08-20-lineage-ledger/impl	890a485c7	84feac48b	nano_swe_teacher_sc	smoke_5step_dynamics	PASS 5/5 tmpe 1.0137-1.0147 gen_kl ~0.001 token_in_rate 0.95-0.99	59	swe batch	6359951	SC_EXP_NAME=ledger-capture-s43-0820-r2 ... (row 1 overrides, staging partition r3)	.../ledger-capture-s43-0820-r2	keep	Capture arm PASS: dynamics tighter than legacy; 16/40 rollouts fail-closed placeholders (per-call aborts; retry-idempotency follow-up); see ledger-ab-report.md
6	autoresearch/2026-08-20-lineage-ledger/impl	890a485c7	84feac48b	nano_swe_teacher_sc	smoke_5step_dynamics	PASS 5/5 tmpe 1.020-1.066 gen_kl ~0.004 all-8-valid	67	swe batch	6359952	SC_EXP_NAME=ledger-legacy-s43-0820-r2 ... (row 2 overrides)	.../ledger-legacy-s43-0820-r2	keep	Legacy arm PASS: looser dynamics (echo re-tokenization); no rollout loss; see ledger-ab-report.md
7	autoresearch/2026-08-20-lineage-ledger/impl	5bc2b50d1	b39dbd8cd	nano_swe_teacher_sc	smoke_5step_dynamics	PASS 5/5 valid 32/40 (was 24/40) tmpe 1.0137-1.0171	72	swe batch short-QOS	6365594	SC_EXP_NAME=ledger-capture-s43-0820-r3 WALLTIME=1:59:00 ... (row 5 overrides, staging partition r4)	.../ledger-capture-s43-0820-r3	keep	Carve-out validated: +8 valid rows; residue 9x missing_terminal_row (2 first-call deaths + ~7 harness-reported doomed-attempt terminal ids); dynamics unchanged
8	autoresearch/2026-08-20-lineage-ledger/mw-smoke-revalidation	b39dbd8cd	02d700023	rlvr_dolphin_sc	mw_smoke_revalidation	CRASH-setup	14	dolphin batch short-QOS	6368085	DRY_RUN=0 bash nano35_ledger_smoke.sh	.../ray_logs/nano35-rlvr-sc-tc-smoke-ledger/6368085-logs	crash	SC checkpointing NotImplementedError in this tree; recipe had checkpointing.enabled=true. Fixed: checkpointing.enabled=false override. 409/UnknownRollout greps trivially 0 (died pre-gym).
9	autoresearch/2026-08-20-lineage-ledger/mw-smoke-revalidation	b39dbd8cd	<mount fix>	rlvr_dolphin_sc	mw_smoke_revalidation	CRASH-setup	18	dolphin batch short-QOS	6368547	DRY_RUN=0 bash nano35_ledger_smoke.sh	.../6368547-logs	crash	uv sync --locked failed in _env_builder: examples ultra_launch overlaid rebased Gym pyproject without mounting worktree uv.lock. Ported root launcher mount block.
10	autoresearch/2026-08-20-lineage-ledger/mw-smoke-revalidation	b39dbd8cd	<mtp fix>	rlvr_dolphin_sc	mw_smoke_revalidation	CRASH-setup	22	dolphin batch short-QOS	6370717	DRY_RUN=0 bash nano35_ledger_smoke.sh	.../6370717-logs	crash	nccl_reshard refit-info assert: mtp.-prefixed FFN weights matched bulk-reshard whitelist (layer_prefix mismatch mtp != backbone). Ported upstream mtp guard to is_nccl_reshard_param.
11	autoresearch/2026-08-20-lineage-ledger/mw-smoke-revalidation	b39dbd8cd	<mtp fix head>	rlvr_dolphin_sc	mw_smoke_revalidation	PARTIAL-PASS mw-regression 0x409 0xUnknownRollout 47x100%-collections 4 syncs 3/3 steps	52	dolphin batch short-QOS	6371991	DRY_RUN=0 bash nano35_ledger_smoke.sh	.../6371991-logs	keep	Multi-worker gate regression GONE at num_workers=16/4. BUT finalize/invalid_row_rate=1.0: every rollout rejected missing_receipt (terminal_logical_request_id->manifest handoff empty), loss=0 on placeholders. User has a known fix; standing by.
12	autoresearch/2026-08-20-lineage-ledger/mw-smoke-revalidation	02d700023	c8ca62e7f	rlvr_dolphin_sc	mw_smoke_revalidation	PASS 5/5 valid 638/640 (3x unresolved_parent only) tmpe 1.028-1.038 loss nonzero 0x409 0xUnknownRollout	58	dolphin batch short-QOS	6381019	DRY_RUN=0 NRL_MAX_STEPS=5 SC_EXP_NAME=nano35-rlvr-sc-tc-smoke-ledger-heur bash nano35_ledger_smoke.sh	/lustre/fsw/portfolios/llmservice/users/pthombre/sweRun/RL-pr3456-delta-smoke-workspace/ray_logs/nano35-rlvr-sc-tc-smoke-ledger-heur/6381019-logs	keep	Heuristic terminal selection validated e2e: zero missing_receipt (row-12 was 128/128 per step), num_valid_samples 126,128,128,128,128; rewards 0.41-1.37; multi-worker regression still absent. Gym 3117ca30+0edca059, RL c8ca62e7f.
